AreaCode,RegionName
E10000003,Cambridgeshire
E10000006,Cumbria
E10000007,Derbyshire
E10000008,Devon
E10000011,East Sussex
E10000012,Essex
E10000013,Gloucestershire
E11000001,Greater Manchester
E10000014,Hampshire
E10000015,Hertfordshire
E13000001,Inner London
E10000016,Kent
E10000017,Lancashire
E10000018,Leicestershire
E10000019,Lincolnshire
E11000002,Merseyside
E10000020,Norfolk
E10000023,North Yorkshire
E10000024,Nottinghamshire
E13000002,Outer London
E10000025,Oxfordshire
E10000027,Somerset
E11000003,South Yorkshire
E10000028,Staffordshire
E10000029,Suffolk
E10000030,Surrey
E11000007,Tyne and Wear
E10000031,Warwickshire
E11000005,West Midlands
E10000032,West Sussex
E11000006,West Yorkshire
E10000034,Worcestershire
